% Stazione A
% 17

% Curve 5-11 cm: primi 4 strati (fino a 20 cm)
% Psi	        Saturazione	Kr
% m	        -	        m/s
-1.50E+01	2.77038E-01	3.92701E-06
-1.30E+01	2.91394E-01	5.77728E-06
-1.10E+01	3.09061E-01	9.06169E-06
-9.00E+00	3.31637E-01	1.55455E-05
-7.00E+00	3.62101E-01	3.04987E-05
-5.00E+00	4.06896E-01	7.48141E-05
-3.00E+00	4.83964E-01	2.87069E-04
-2.00E+00	5.52526E-01	8.13811E-04
-1.00E+00	6.79706E-01	4.38860E-03
-8.00E-01	7.20975E-01	7.25716E-03
-5.00E-01	8.02719E-01	1.91535E-02
-4.00E-01	8.37203E-01	2.89018E-02
-3.00E-01	8.76100E-01	4.66530E-02
-2.00E-01	9.19267E-01	8.29070E-02
-1.00E-01	9.64485E-01	1.73287E-01
-1.00E-03	9.99925E-01	7.78883E-01
0.00E+00	1.00000E+00	1.00000E+00


% Curve 25-31 cm: successivi 5 strati (da 20 a 60 cm)
% Psi	        Saturazione	Kr
% m	        -	        m/s
-1.50E+01	4.34947E-01	1.09187E-07
-1.30E+01	4.44994E-01	1.52098E-07
-1.10E+01	4.57010E-01	2.23936E-07
-9.00E+00	4.71864E-01	3.56324E-07
-7.00E+00	4.91125E-01	6.37247E-07
-5.00E+00	5.18093E-01	1.38651E-06
-3.00E+00	5.61685E-01	4.49947E-06
-2.00E+00	5.98578E-01	1.14057E-05
-1.00E+00	6.66072E-01	5.50541E-05
-8.00E-01	6.88817E-01	9.07643E-05
-5.00E-01	7.37770E-01	2.55658E-04
-4.00E-01	7.61213E-01	4.13355E-04
-3.00E-01	7.91226E-01	7.57045E-04
-2.00E-01	8.32197E-01	1.71466E-03
-1.00E-01	8.94315E-01	6.08347E-03
-1.00E-03	9.99179E-01	2.57001E-01
0.00E+00	1.00000E+00	1.00000E+00


% Curve 65-71 cm: ultimi 10 strati (da 60 a 500 cm)
% Psi		Saturazione	Kr
% m		-	        m/s
-1.50E+01	3.64201E-01	2.41886E-06
-1.30E+01	3.78409E-01	3.51691E-06
-1.10E+01	3.95663E-01	5.44097E-06
-9.00E+00	4.17363E-01	9.18125E-06
-7.00E+00	4.46083E-01	1.76450E-05
-5.00E+00	4.87273E-01	4.21141E-05
-3.00E+00	5.55711E-01	1.55223E-04
-2.00E+00	6.14543E-01	4.27364E-04
-1.00E+00	7.20270E-01	2.22173E-03
-8.00E-01	7.54074E-01	3.65297E-03
-5.00E-01	8.21176E-01	9.65883E-03
-4.00E-01	8.49851E-01	1.46942E-02
-3.00E-01	8.82766E-01	2.41313E-02
-2.00E-01	9.20471E-01	4.44002E-02
-1.00E-01	9.62380E-01	9.99487E-02
-1.00E-03	9.99879E-01	6.33119E-01
0.00E+00	1.00000E+00	1.00000E+00
