% Stazione C
% 17

% Curve 5-11 cm: primi 4 strati (fino a 20 cm)
% Psi	        Saturazione	Kr
% m	        -	        m/s
-1.50E+01	6.78352E-01	1.63425E-06
-1.30E+01	6.87980E-01	2.23339E-06
-1.10E+01	6.99361E-01	3.21422E-06
-9.00E+00	7.13224E-01	4.97264E-06
-7.00E+00	7.30863E-01	8.57296E-06
-5.00E+00	7.54902E-01	1.77010E-05
-3.00E+00	7.92040E-01	5.24997E-05
-2.00E+00	8.21646E-01	1.22272E-04
-1.00E+00	8.70765E-01	4.89256E-04
-8.00E-01	8.85656E-01	7.47675E-04
-5.00E-01	9.14551E-01	1.74073E-03
-4.00E-01	9.26803E-01	2.53148E-03
-3.00E-01	9.40972E-01	3.98645E-03
-2.00E-01	9.57632E-01	7.12961E-03
-1.00E-01	9.77492E-01	1.63931E-02
-1.00E-03	9.99837E-01	1.91196E-01
0.00E+00	1.00000E+00	1.00000E+00

% Curve 25-31 cm: successivi 2 strati (da 20 a 30 cm)
% Psi	        Saturazione	Kr
% m	        -	        m/s
-1.50E+01	6.28079E-01	6.22659E-07
-1.30E+01	6.37684E-01	8.53455E-07
-1.10E+01	6.49064E-01	1.23279E-06
-9.00E+00	6.62969E-01	1.91639E-06
-7.00E+00	6.80739E-01	3.32627E-06
-5.00E+00	7.05121E-01	6.94172E-06
-3.00E+00	7.43277E-01	2.10347E-05
-2.00E+00	7.74287E-01	5.01559E-05
-1.00E+00	8.27583E-01	2.13166E-04
-8.00E-01	8.44408E-01	3.34446E-04
-5.00E-01	8.78389E-01	8.33427E-04
-4.00E-01	8.93487E-01	1.25905E-03
-3.00E-01	9.11620E-01	2.09212E-03
-2.00E-01	9.34102E-01	4.06021E-03
-1.00E-01	9.63094E-01	1.07467E-02
-1.00E-03	9.99720E-01	1.86250E-01
0.00E+00	1.00000E+00	1.00000E+00


% Curve 45-51 cm: ultimi 13 strati (da 30 a 500 cm)
% Psi		Saturazione	Kr
% m		-	        m/s
-1.50E+01	5.69833E-01	2.47160E-06
-1.30E+01	5.82015E-01	3.45473E-06
-1.10E+01	5.96524E-01	5.10408E-06
-9.00E+00	6.14358E-01	8.14800E-06
-7.00E+00	6.37296E-01	1.46057E-05
-5.00E+00	6.68992E-01	3.17489E-05
-3.00E+00	7.18883E-01	1.01538E-04
-2.00E+00	7.59370E-01	2.50102E-04
-1.00E+00	8.27564E-01	1.08600E-03
-8.00E-01	8.48364E-01	1.69462E-03
-5.00E-01	8.88632E-01	4.07572E-03
-4.00E-01	9.05573E-01	5.98319E-03
-3.00E-01	9.24975E-01	9.48120E-03
-2.00E-01	9.47392E-01	1.69287E-02
-1.00E-01	9.73222E-01	3.79799E-02
-1.00E-03	9.99849E-01	3.43367E-01
0.00E+00	1.00000E+00	1.00000E+00





